Part Number,need_attach
1096215-00-C,S/C/1096215-00-C/#/#
1547595-A0-F,P/M/1547595-A2-F/0127-0100086#
1739701-50-B,S/C/1739701-00-B/#/#
1693247-47-D,S/C/1693247-20-C/#/#
1693247-27-D,S/C/1693247-20-C/#/#
1547595-A2-F,P/M/1547595-A2-F/0127-0100086#
1547595-A2-F,P/M/1547595-A2-F/0127-0100086#
1631640-00-A,S/C/1631640-00-A/#/#
1752119-03-B,P-Octo2/M/1752119-03-B/0127-0100079/Octo2
1455773-00-F,1455773-00-F
1083849-00-E,P/C/1083849-00-E/BH45-01LM018/0122
1108202-00-M,S/C/1108202-10-M/#/#
1108202-00-M,S/C/1108202-10-M/#/#
1657603-02-E,S/C/1657594-00-A/#/#
1540065-00-C,P/M/1540065-00-C/0127-0100008#
1478201-00-B,1478201-00-B
1108202-01-M,S/C/1108202-10-M/#/#
1716767-00-A,S/C/1716767-00-A/#/#
1592843-00-A,1592843-00-A
1631640-00-B,S/C/1631640-00-B/#/#
1108202-00-N,S/C/1108202-10-M/#/#